ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
35454,23,0,0,6,0,0,180000,0,1,0,0,0,0,0,0,43681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,43680
326148,23,0,0,6,0,0,180000,0,1,0,0,0,0,0,0,219004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,219003
678897,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,134
678917,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3053,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,184
679133,23,0,0,6,0,0,5000,0,1,0,0,0,0,0,0,10872,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,552
679172,0,0,2,64,0,0,0,1,1,0,0,0,0,0,0,7922,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,100
679280,23,0,0,6,0,0,3000,1,1,0,0,0,0,0,0,26059,0,1,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,22,7,804
679337,23,0,0,6,0,0,11000,1,1,0,0,0,0,0,0,26626,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,812
679349,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,11920,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,745
679422,23,0,1,6,0,0,2000,0,1,0,0,0,0,0,0,1348,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,424
679455,23,0,0,6,0,0,1000,1,1,0,0,0,0,0,1,25595,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1009
679456,0,0,1,64,0,0,0,1,1,0,0,0,0,0,0,25595,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1009
679459,23,0,2,6,0,0,3000,0,1,0,0,0,0,0,0,1010,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1010
